DEPTH;CAL;DT;GR;NPHI;ILD;RHOB;SP;porosite;K
1149.18640;9.39447;162.45410;47.51221;0.13335;13.08398;1.83568;-.31854;0.224512123130677;1645.37069356327
1149.20007;9.39783;162.33203;47.43262;0.13199;13.46094;1.83660;-.31476;0.222663752822072;1623.42433323942
1149.25000;9.41000;161.88600;47.14200;0.12700;14.83700;1.84000;-.30100;0.221990690345018;1615.47794276779
1149.36072;9.44055;160.99316;46.55566;0.12346;16.25293;1.84974;-.30100;0.220247413826015;1595.00787807488
1149.40002;9.45142;160.67578;46.34766;0.12220;16.75586;1.85320;-.30100;0.219413004262628;1585.26716656124
1149.50000;9.47900;159.86900;45.81800;0.11900;18.03400;1.86200;-.30100;0.217944878497035;1568.21822954853
1149.53650;9.47900;159.59863;45.65820;0.11871;18.23633;1.86769;-.29969;0.215275851503626;1537.51675072212
1149.59998;9.47900;159.12891;45.38135;0.11820;18.58838;1.87759;-.29740;0.214413561375967;1527.67881405525
1149.71375;9.47900;158.28711;44.88477;0.11729;19.21924;1.89534;-.29330;0.213784778562662;1520.52986458544
1149.75000;9.47900;158.01900;44.72700;0.11700;19.42000;1.90100;-.29200;0.212623724239273;1507.38443415954
1149.80005;9.47900;157.67480;44.79309;0.11660;19.91504;1.90240;-.29160;0.211273480814578;1492.18705587161
1149.89233;9.47900;157.03955;44.91492;0.11586;20.82715;1.90499;-.29086;0.209954550432222;1477.43560061187
1150.00000;9.47900;156.29800;45.05700;0.11500;21.89200;1.90800;-.29000;0.207549176650156;1450.77071352434
1150.07214;9.48275;155.77344;45.70117;0.11269;22.13110;1.90281;-.31110;0.206580739505883;1440.12182182383
1150.20007;9.48940;154.84277;46.84473;0.10860;22.55469;1.89359;-.34845;0.206527413401479;1439.53690152096
1150.25000;9.49200;154.47900;47.29200;0.10700;22.72000;1.89000;-.36300;0.204087822644412;1412.93888619293
1150.25317;9.49245;154.43848;47.29724;0.10687;22.69629;1.88991;-.36392;0.203473750004319;1406.29361676529
1150.40002;9.51302;152.53320;47.54041;0.10100;21.62305;1.88580;-.40683;0.202428415512274;1395.02750105445
1150.43689;9.51817;152.05469;47.60144;0.09952;21.35352;1.88477;-.41757;0.202087243360085;1391.36305851294
1150.50000;9.52700;151.23500;47.70600;0.09700;20.89200;1.88300;-.43600;0.202009144517759;1390.52508821773
1150.59998;9.53420;150.50781;47.87122;0.09620;20.78638;1.87980;-.43960;0.201570549510133;1385.82517335642
1150.62231;9.53581;150.34473;47.90820;0.09602;20.76282;1.87909;-.44041;0.202739585962833;1398.37505748753
1150.75000;9.54500;149.41400;48.11900;0.09500;20.62800;1.87500;-.44500;0.202952794605199;1400.67174747272
1150.80005;9.54600;149.41740;48.08203;0.09940;21.10547;1.87700;-.45442;0.207349017664385;1448.56566956068
1150.80908;9.54618;149.41803;48.07532;0.10020;21.19141;1.87736;-.45612;0.20742326364963;1449.38340531182
1150.99683;9.54994;149.43079;47.93640;0.11672;22.98145;1.88487;-.49141;0.20531945952355;1426.32752074482
1151.00000;9.55000;149.43100;47.93400;0.11700;23.01200;1.88500;-.49200;0.205130523162572;1424.2684700075
