CAL,DT,GR,NPHI,ILD,RHOB,SP,porosite,K,Well Name,logK
10.11023,141.88867,92.42188,0.46757,0.69838,2.17312,6.945,0.161702760738594,1001.26725774195,p5,3.0005500146129007
10.11023,141.88867,92.42188,0.46757,0.69838,2.17312,6.945,0.161702760738594,1001.26725774195,p5,3.0005500146129007
10.063,141.535,93.816,0.47241,0.697,2.18,6.945,0.15311568548814,929.48828409628,p5,2.968243919998823
10.07843,141.16699,94.42578,0.47333,0.69324,2.18238,6.9448,0.148962686497642,896.178335696081,p5,2.9523944410260663
10.07858,141.16309,94.43164,0.47334,0.6932,2.1824,6.9448,0.148922610433447,895.861359529794,p5,2.95224080491888
10.1156,140.28125,95.89258,0.47553,0.68418,2.1881,6.94433,0.138482150534576,816.189313141773,p5,2.9117909039952745
10.1156,140.28125,95.89258,0.47553,0.68418,2.1881,6.94433,0.138482150534576,816.189313141773,p5,2.9117909039952745
10.12601,140.03418,96.30371,0.47614,0.68165,2.1897,6.94419,0.135412076585713,793.862641245652,p5,2.8997453647575604
10.141,139.677,96.894,0.47703,0.678,2.192,6.944,0.130898163387458,761.944816468387,p5,2.881923518884075
10.11218,139.81897,96.6062,0.46932,0.678,2.19033,6.92522,0.131992397262108,769.58266823728,p5,2.8862552783986897
10.09311,139.91296,96.41553,0.46422,0.678,2.18922,6.91278,0.132682083827814,774.42940477747,p5,2.8889818346027023
10.09311,139.91296,96.41553,0.46422,0.678,2.18922,6.91278,0.132682083827814,774.42940477747,p5,2.8889818346027023
10.08582,139.94897,96.34229,0.46227,0.678,2.1888,6.90802,0.13294024081678,776.25008539555,p5,2.8900016609615307
10.08578,139.9491,96.34204,0.46226,0.678,2.1888,6.90799,0.132940456032147,776.25160457304,p5,2.890002510906372
10.072,140.017,96.204,0.45857,0.678,2.188,6.899,0.133413845674352,779.599435169224,p5,2.891871515793226
10.06042,140.06299,96.28418,0.45797,0.67797,2.18762,6.89539,0.132781035980734,775.126786636034,p5,2.8893727453874556
9.81702,141.02881,97.95996,0.44531,0.6774,2.1796,6.81976,0.119087716539033,683.552217630845,p5,2.8347716966108116
9.80139,141.09033,98.06641,0.4445,0.67736,2.17909,6.81494,0.118186256585526,677.873002781545,p5,2.8311483378827784
9.76941,141.21729,98.28711,0.44285,0.67729,2.17804,6.80505,0.116308517324708,666.181773439018,p5,2.8235927463330275
9.76941,141.21729,98.28711,0.44285,0.67729,2.17804,6.80505,0.116308517324708,666.181773439018,p5,2.8235927463330275
9.647,141.703,99.13,0.43648,0.677,2.174,6.767,0.108970637501587,622.289985267723,p5,2.7939928117863935
9.65243,142.06201,98.42969,0.43186,0.68365,2.16858,6.7074,0.114436453504061,654.712265473275,p5,2.816050477133184
9.6558,142.28516,97.99512,0.42899,0.6878,2.16521,6.67029,0.117709477601508,674.886725884367,p5,2.8292308862361217
9.65582,142.28564,97.99316,0.42898,0.68781,2.1652,6.67017,0.117723993274579,674.977465456462,p5,2.8292892738809874
9.66307,142.76611,97.05664,0.42279,0.69672,2.15794,6.59021,0.124483314176851,718.446702214859,p5,2.85639455563999
9.66307,142.76611,97.05664,0.42279,0.69672,2.15794,6.59021,0.124483314176851,718.446702214859,p5,2.85639455563999
9.66583,142.94873,96.7002,0.42044,0.70011,2.15517,6.55981,0.12695720272501,734.96278911964,p5,2.866265351479978
9.669,143.158,96.291,0.41774,0.704,2.152,6.525,0.129731025353141,753.867778522238,p5,2.8772951812893695
9.70447,143.57422,96.55518,0.41736,0.71643,2.1506,6.4491,0.12799180414468,741.966465446207,p5,2.870384276976088
9.75146,144.12598,96.90527,0.41686,0.73291,2.14874,6.34839,0.125641665974924,726.139867792228,p5,2.861020281801749
9.80151,144.71289,97.27832,0.41633,0.75043,2.14676,6.24133,0.123077822932218,709.208605249163,p5,2.8507739965137
9.80151,144.71289,97.27832,0.41633,0.75043,2.14676,6.24133,0.123077822932218,709.208605249163,p5,2.8507739965137
9.846,145.23399,97.61,0.41585,0.766,2.145,6.146,0.120743650224681,694.097595899716,p5,2.8414205401676735
9.84871,145.13672,97.63818,0.4187,0.77179,2.14583,6.10913,0.120877379746302,694.955593212816,p5,2.8419570546062527
9.87064,144.35205,97.86731,0.44185,0.8187,2.15253,5.80981,0.121907834841089,701.598752600488,p5,2.846088808209742
9.87363,144.24512,97.89856,0.44499,0.8251,2.15345,5.76904,0.122037263947207,702.437145696115,p5,2.8466074695043924
9.87363,144.24512,97.89856,0.44499,0.8251,2.15345,5.76904,0.122037263947207,702.437145696115,p5,2.8466074695043924
9.87479,144.20361,97.91064,0.44623,0.82758,2.1538,5.75317,0.122091034599346,702.785711671201,p5,2.84682292327654
9.8748,144.20312,97.91089,0.44624,0.82761,2.1538,5.75293,0.122090441708935,702.781867955322,p5,2.846820548001782
9.882,143.946,97.986,0.45382,0.843,2.156,5.655,0.122397347259514,704.77430686369,p5,2.848050063124318
